species_label,species,family,Tag,growth_form,mesh_size,diameter_class,diameter_1 size_cm,diameter_2 size_cm,diameter_3 size_cm,Bark thickness_1 _mm,Bark thickness_2 _mm,Bark thickness_3 _mm,Bark thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces/g,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks/g
F56,Bauhinia purpurea,,T0266,Trees,Invertebrates blocked,5.0 cm,3.5,3.5,3.3,1.71,1.41,1.36,1.35,19.5,186.8,20.35,20.93,10.56,17.06
F56,Bauhinia purpurea,,T0270,Trees,Invertebrates blocked,5.0 cm,3,3.1,3.1,1.11,1.26,1.25,1.26,20,133.59,15.02,17.46,7.09,13.76
F56,Bauhinia purpurea,,T0224,Trees,Invertebrates blocked,2.5 cm,2.4,2.5,2.4,1.13,0.93,0.68,0.92,20,83.41,8.87,10.37,4.33,8.35
F56,Bauhinia purpurea,,T0228,Trees,Invertebrates blocked,2.5 cm,2.1,2.2,2.2,0.87,0.46,0.72,0.76,20,68.68,7.43,8.04,3.91,6.4
F56,Bauhinia purpurea,,T0202,Trees,Invertebrates blocked,2.5 cm,2.7,2.7,2.6,0.82,0.91,0.88,0.68,20,104.37,10.81,12.5,5.54,10.32
F56,Bauhinia purpurea,,T0226,Trees,Invertebrates blocked,2.5 cm,2.1,2.1,2.1,0.68,0.99,0.72,0.79,20,67.08,7.01,7.84,3.7,6.31
F56,Bauhinia purpurea,,T0222,Trees,Invertebrates blocked,2.5 cm,2.4,2.4,2.4,0.72,0.75,0.78,0.74,19.5,77.39,8.79,10.23,4.52,8.71
F56,Bauhinia purpurea,,T0218,Trees,Invertebrates blocked,2.5 cm,2.2,2.2,2.2,0.86,0.8,0.83,0.99,19.5,69.28,7.1,8.32,3.72,6.94
F56,Bauhinia purpurea,,T0204,Trees,Invertebrates blocked,2.5 cm,2.4,2.4,2.4,1.07,0.68,0.56,0.92,20,81.95,9.26,10.82,4.63,9.37
F56,Bauhinia purpurea,,T0208,Trees,Invertebrates blocked,2.5 cm,2.4,2.3,2.3,0.65,0.75,0.55,0.71,19,66.12,8.22,9.86,3.49,8.05
F56,Bauhinia purpurea,,T0232,Trees,Invertebrates blocked,2.5 cm,2.4,2.5,2.5,1.13,0.86,0.92,0.9,20,92.19,9.73,11.14,4.97,9.26
F59,Ficus altissima,,T0767,Trees,Invertebrates access,5.0 cm,3.5,3.6,3.8,2.77,2.58,1.66,2.83,21,243.56,24.75,24.43,11.12,19.19
F59,Ficus altissima,,T0761,Trees,Invertebrates access,5.0 cm,3.4,3.4,3.5,1.64,1.94,1.78,1.48,20,181.62,19.79,20.06,8.94,16.17
F59,Ficus altissima,,T0771,Trees,Invertebrates access,5.0 cm,3.7,3.8,3.8,2.35,2.37,2.25,2.49,19.5,222.47,25.8,25.89,11.62,19.93
F59,Ficus altissima,,T0763,Trees,Invertebrates access,5.0 cm,3.7,3.7,3.7,3.02,1.95,1.61,3.07,20,208.61,26.1,26.24,12.16,20.92
F59,Ficus altissima,,T0755,Trees,Invertebrates access,5.0 cm,3.5,3.5,3.4,1.67,1.99,2.39,2.46,21,206.2,22.21,21.54,9.73,15.53
F59,Ficus altissima,,T0779,Trees,Invertebrates access,5.0 cm,3.5,3.4,3.3,1.65,2.22,1.98,2.42,20,193.57,18.95,18.65,8.43,13.98
F59,Ficus altissima,,T0759,Trees,Invertebrates access,5.0 cm,3.5,3.4,3.4,2.83,2.86,2.57,2.31,21,196.05,23.37,22.65,10.4,16.89
F59,Ficus altissima,,T0765,Trees,Invertebrates access,5.0 cm,3.5,3.5,3.7,2.23,2.45,1.91,2.71,21,204.8,21.46,21.27,9.88,16.23
F59,Ficus altissima,,T0781,Trees,Invertebrates access,5.0 cm,3.7,3.6,3.6,2.01,2.1,2.01,1.55,20,215.69,26.75,25.83,12.14,20.94
F59,Ficus altissima,,T0775,Trees,Invertebrates access,5.0 cm,3.8,3.6,3.8,2.92,1.98,2.37,2.36,20,220.45,25.4,25.21,11.17,18.53
F59,Ficus altissima,,T0751,Trees,Invertebrates access,5.0 cm,3.6,3.6,3.5,2.01,2.71,2.32,2.24,20,204.14,21.33,20.94,9.52,15.81
F59,Ficus altissima,,T0777,Trees,Invertebrates access,5.0 cm,3.3,3.3,3.6,2.4,2.05,2.23,1.65,20,184.5,22.31,22.45,9.69,16.99
F59,Ficus altissima,,T0773,Trees,Invertebrates access,5.0 cm,3.6,3.4,3.3,1.98,1.72,1.43,2.14,19.5,183.36,21.81,22.15,9.59,16.47
F59,Ficus altissima,,T0753,Trees,Invertebrates access,5.0 cm,3.4,3.3,3.6,1.85,1.99,2.14,1.97,20,181.88,21.02,20.72,9.4,15.07
F59,Ficus altissima,,T0757,Trees,Invertebrates access,5.0 cm,3.3,3.5,3.4,1.92,2.14,2.19,1.96,20,181.72,19.86,20.01,9.38,15.47
F59,Ficus altissima,,T0769,Trees,Invertebrates access,5.0 cm,3.6,3.7,4.2,2.27,1.81,1.71,1.53,19,214.46,24.81,24.38,11.66,18.94
F59,Ficus altissima,,T0721,Trees,Invertebrates access,2.5 cm,2.3,2.5,2.6,1.9,1.58,1.47,1.48,19.5,93.67,10.78,10.48,5.89,7.59
F59,Ficus altissima,,T0711,Trees,Invertebrates access,2.5 cm,2.5,2.6,2.6,2.88,1.28,1.9,2.28,21,107.19,12.79,12.25,5.73,8.86
F59,Ficus altissima,,T0725,Trees,Invertebrates access,2.5 cm,3,2.6,2.8,2.47,1.91,1.67,1.98,22,137.52,10.55,10.25,4.7,7.39
F59,Ficus altissima,,T0703,Trees,Invertebrates access,2.5 cm,2,2.1,2.2,1.36,1.19,1.33,1.61,21,74.06,6.85,6.88,3.09,4.77
F59,Ficus altissima,,T0717,Trees,Invertebrates access,2.5 cm,2.5,2.5,2.5,1.72,1.64,1.86,1.82,19.5,92.96,11.37,11.77,4.92,8.37
F59,Ficus altissima,,T0729,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.2,1.48,2.23,1.95,1.8,20.5,83.71,8.92,8.72,3.75,6.46
F59,Ficus altissima,,T0723,Trees,Invertebrates access,2.5 cm,2.5,2.3,2.4,1.53,1.99,1.19,1.59,19.5,88.82,11.31,11.26,4.92,7.48
F59,Ficus altissima,,T0727,Trees,Invertebrates access,2.5 cm,2.9,2.9,2.8,1.47,2.15,1.96,1.87,22,139.95,14.2,13.83,6.23,9.54
F59,Ficus altissima,,T0719,Trees,Invertebrates access,2.5 cm,2.2,2.3,2.2,1.85,1.65,1.61,1.31,20,74.97,8.77,8.65,3.79,5.98
F59,Ficus altissima,,T0705,Trees,Invertebrates access,2.5 cm,2.2,2.3,2.3,1.68,1.69,2.06,2.33,20,84.68,11.29,10.78,5.1,7.6
F59,Ficus altissima,,T0707,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.2,1.73,1.54,1.78,1.95,19.5,79.06,9.01,8.89,3.86,6.27
F59,Ficus altissima,,T0731,Trees,Invertebrates access,2.5 cm,2.3,2.4,2.5,1.3,1.22,1.7,1.9,20,91.35,9.6,9.66,4.45,6.94
F59,Ficus altissima,,T0709,Trees,Invertebrates access,2.5 cm,2,1.9,1.8,2.3,1.83,1.2,1.86,21,61.04,7.72,7.6,3.54,5.59
F59,Ficus altissima,,T0715,Trees,Invertebrates access,2.5 cm,2.2,2.4,2.2,1.69,1.38,1.92,1.53,20,82.86,8.81,8.82,3.94,6.62
F59,Ficus altissima,,T0713,Trees,Invertebrates access,2.5 cm,2.5,2.5,2.5,2.05,1.9,1.61,1.9,20,99.55,12.29,12.06,5.61,8.74
F59,Ficus altissima,,T0701,Trees,Invertebrates access,2.5 cm,2.2,2,2.2,1.81,1.55,1.27,1.13,20.5,63.1,9.37,9.12,4.16,6.26
F59,Ficus altissima,,T0754,Trees,Invertebrates blocked,5.0 cm,4.1,4.3,4.8,1.86,1.64,1.94,1.92,21,324.44,35.11,33.83,15.73,27.34
F59,Ficus altissima,,T0780,Trees,Invertebrates blocked,5.0 cm,5,5.1,5,2.54,2.36,2.18,2.38,21,425.75,44.78,43.84,20.77,36.48
F59,Ficus altissima,,T0766,Trees,Invertebrates blocked,5.0 cm,4.4,4.4,4.3,2.44,3.79,2.11,2.38,21.5,326.63,41.08,39.6,18.52,31.62
F59,Ficus altissima,,T0772,Trees,Invertebrates blocked,5.0 cm,5.4,5.1,5.5,2.73,2.48,2.62,2.85,21,437.23,64.96,63.52,30.75,53.3
F59,Ficus altissima,,T0764,Trees,Invertebrates blocked,5.0 cm,5,4.9,4.9,2.67,2.36,2.56,2.2,21.5,413.07,46.31,44.67,22.06,36.16
F59,Ficus altissima,,T0770,Trees,Invertebrates blocked,5.0 cm,3.8,3.9,4.1,1.98,2.28,1.68,2.22,20,243.31,26.45,26.59,12.32,20.99
F59,Ficus altissima,,T0760,Trees,Invertebrates blocked,5.0 cm,4.6,4.5,4.5,2.26,2.36,2.61,2.42,21,338.84,36.29,35.76,16.26,27.85
F59,Ficus altissima,,T0752,Trees,Invertebrates blocked,5.0 cm,4.9,4.4,4.6,2.28,2.27,2.66,2.61,20,341.17,38.47,37.35,16.9,29.7
F59,Ficus altissima,,T0768,Trees,Invertebrates blocked,5.0 cm,3.9,3.9,4.1,2.2,2.07,1.63,1.98,19.5,247.03,30.76,29.75,13.26,24.28
F59,Ficus altissima,,T0774,Trees,Invertebrates blocked,5.0 cm,4.3,4.5,4.5,2.66,2.53,2.19,2.18,21.5,330.98,37.69,36.31,17.31,27.47
F59,Ficus altissima,,T0778,Trees,Invertebrates blocked,5.0 cm,5.2,5.2,5,2.05,2.1,2,1.74,20,442.22,48.61,47.66,22.92,38.79
F59,Ficus altissima,,T0758,Trees,Invertebrates blocked,5.0 cm,4.8,3.8,4.2,1.57,1.61,2.35,1.55,20,239.11,28.32,27.84,12.68,22.99
F59,Ficus altissima,,T0756,Trees,Invertebrates blocked,5.0 cm,4.9,5,4.8,1.82,2.52,2.53,2.8,20,361.96,38.05,39.16,16.82,30.61
F59,Ficus altissima,,T0762,Trees,Invertebrates blocked,5.0 cm,4,4,4.1,2.19,2.18,2.06,2.12,21,276.81,32.48,32.3,14.82,25.15
F59,Ficus altissima,,T0782,Trees,Invertebrates blocked,5.0 cm,4.1,4.3,4.3,2.11,1.86,1.77,1.09,21,318.62,28.96,28.69,13.33,22.74
F59,Ficus altissima,,T0776,Trees,Invertebrates blocked,5.0 cm,4.7,4.8,4.8,2.51,2.2,2.44,2.17,23,416.17,40.5,40.33,18.4,32.09
F59,Ficus altissima,,T0726,Trees,Invertebrates blocked,2.5 cm,3,3.1,3.1,2.76,2.01,1.73,2.25,20.5,167.84,17.1,16.55,8.13,12.5
F59,Ficus altissima,,T0712,Trees,Invertebrates blocked,2.5 cm,3.1,3.1,3.1,2.3,2.26,2.01,2.58,20,159.64,17.89,17.28,8.11,12.22
F59,Ficus altissima,,T0724,Trees,Invertebrates blocked,2.5 cm,3.3,3.1,3.2,3.01,2.2,3.05,1.9,20,161.85,22.2,21.4,10.06,16.26
F59,Ficus altissima,,T0716,Trees,Invertebrates blocked,2.5 cm,3.2,3.3,3.3,2.01,2.48,2.47,2.12,20,166.83,19.38,19.32,8.45,15.01
F59,Ficus altissima,,T0720,Trees,Invertebrates blocked,2.5 cm,3.2,3.2,3.1,2.1,2.21,2.14,2.08,20,160.26,17.98,18.1,8.16,13.89
F59,Ficus altissima,,T0718,Trees,Invertebrates blocked,2.5 cm,3.2,3.4,3.1,2.53,2.37,2.6,1.9,20.5,180.76,18.49,17.92,8.32,12.95
F59,Ficus altissima,,T0728,Trees,Invertebrates blocked,2.5 cm,3,3,3,2.23,3.28,2.3,2.24,21.5,151.45,18.14,17.24,7.97,12.9
F59,Ficus altissima,,T0732,Trees,Invertebrates blocked,2.5 cm,3.2,3.2,3.2,2.38,1.77,2.16,1.96,19,157.45,18.91,19.05,8.4,14.86
F59,Ficus altissima,,T0704,Trees,Invertebrates blocked,2.5 cm,2.3,2.3,2.3,1.84,1.71,2.01,2.09,21,91.03,9.8,9.58,4.24,7.4
F59,Ficus altissima,,T0730,Trees,Invertebrates blocked,2.5 cm,3.2,3.4,3.5,2.13,2.07,2.4,2.19,19,192.76,19.76,18.73,9.63,14.41
F59,Ficus altissima,,T0706,Trees,Invertebrates blocked,2.5 cm,2.4,2.6,2.6,1.68,1.54,1.91,1.44,18.5,102.15,11.22,11.13,5.27,8.17
F59,Ficus altissima,,T0722,Trees,Invertebrates blocked,2.5 cm,2.4,2.3,2.3,1.67,1.65,1.52,1.48,19.5,91.02,10.93,10.83,4.79,7.64
F59,Ficus altissima,,T0714,Trees,Invertebrates blocked,2.5 cm,2.4,2.4,2.6,1.7,1.77,1.11,1.44,20,99.73,11.27,11.36,5.09,8.64
F59,Ficus altissima,,T0710,Trees,Invertebrates blocked,2.5 cm,2.2,2.2,2.3,1.45,1.18,1.45,1.14,20.5,83.72,8.82,8.67,4.34,6.46
F59,Ficus altissima,,T0708,Trees,Invertebrates blocked,2.5 cm,2.4,2.4,2.4,1.3,1.6,1.61,1.37,20,97.51,11.52,11.39,5.2,8.84
F59,Ficus altissima,,T0702,Trees,Invertebrates blocked,2.5 cm,2.5,2.4,2.5,2.89,1.37,2.59,1.45,19.5,89.5,11.18,11.47,4.87,8.77
F51,Macaranga denticulata,,T0078,Trees,Invertebrates blocked,5.0 cm,4.1,4,4,0.55,0.42,0.51,0.78,20,189.1,21.65,30.18,12.01,26.55
F51,Macaranga denticulata,,T0068,Trees,Invertebrates blocked,5.0 cm,4.1,4.1,4,1.65,1.06,1.53,1.18,19.5,185.99,23.28,32.8,10.99,27.99
F51,Macaranga denticulata,,T0072,Trees,Invertebrates blocked,5.0 cm,4.2,4.3,4.4,1.15,1.45,1.52,1.06,20,259.4,29.21,32.26,18.16,28.59
F51,Macaranga denticulata,,T0074,Trees,Invertebrates blocked,5.0 cm,4.1,4.1,4,1.25,1.4,1.46,1.12,19.5,182.97,21.01,29.6,10.06,24.55
F51,Macaranga denticulata,,T0064,Trees,Invertebrates blocked,5.0 cm,3.6,3.7,3.7,0.76,0.53,1.09,0.66,20,165.96,17.75,23.84,10.28,21.57
F51,Macaranga denticulata,,T0054,Trees,Invertebrates blocked,5.0 cm,3.8,3.9,3.9,1.5,1.1,1.24,0.98,20,207.92,24.51,26.7,14.53,23.23
F51,Macaranga denticulata,,T0056,Trees,Invertebrates blocked,5.0 cm,3.5,3.6,3.6,0.97,1.11,0.5,0.54,20,159.22,18.51,24.14,10.21,20.86
F51,Macaranga denticulata,,T0070,Trees,Invertebrates blocked,5.0 cm,3.9,4.1,4.1,1.28,0.76,1.23,1.14,19.5,179.58,19.19,28.41,8.8,33.67
F51,Macaranga denticulata,,T0066,Trees,Invertebrates blocked,5.0 cm,3.8,3.8,3.9,0.66,0.96,0.85,0.99,20,175.45,18.82,26.25,10.66,23.07
F51,Macaranga denticulata,,T0062,Trees,Invertebrates blocked,5.0 cm,3.6,3.6,4,0.71,0.89,0.66,0.65,20,152.73,18.62,25.18,10.98,22.48
F51,Macaranga denticulata,,T0052,Trees,Invertebrates blocked,5.0 cm,3.9,4,4.1,1.18,1.44,1.31,1.12,20,189.4,20.18,29.19,10.72,24.32
F51,Macaranga denticulata,,T0082,Trees,Invertebrates blocked,5.0 cm,4.1,4.1,4.1,1.17,0.76,0.84,0.97,20,196.38,22.51,30.34,12.64,22.24
F51,Macaranga denticulata,,T0076,Trees,Invertebrates blocked,5.0 cm,4,4,4,1.31,1.1,1.3,0.87,10,177.52,20.76,28.01,9.67,23.73
F51,Macaranga denticulata,,T0058,Trees,Invertebrates blocked,5.0 cm,4.5,4.4,4.4,1.29,1.02,1.11,1.18,20,279.93,32.04,36.14,19.99,32.16
F51,Macaranga denticulata,,T0080,Trees,Invertebrates blocked,5.0 cm,3.9,3.9,3.9,1.5,1.7,1.27,1.59,20.5,180.18,20.36,28.18,9.61,23.39
F51,Macaranga denticulata,,T0060,Trees,Invertebrates blocked,5.0 cm,4,3.9,3.9,1.46,1.26,1.14,1.03,19.5,168.8,19.87,30.39,9.36,25.21
F51,Macaranga denticulata,,T0015,Trees,Invertebrates access,2.5 cm,2.6,2.6,2.6,0.51,0.64,0.55,0.51,19.5,84.52,10.25,13.08,5.4,11.17
F51,Macaranga denticulata,,T0031,Trees,Invertebrates access,2.5 cm,3.1,3.1,3.1,0.39,0.73,0.54,0.49,19.5,106.11,11.77,17.11,6.37,14.88
F51,Macaranga denticulata,,T0003,Trees,Invertebrates access,2.5 cm,3,3.1,3.2,0.67,0.74,1.05,0.76,20,114.9,11.3,15.27,6.7,13.33
F51,Macaranga denticulata,,T0029,Trees,Invertebrates access,2.5 cm,3.1,3.2,3.2,0.53,0.62,0.47,0.68,20,113.36,13.42,18.96,7.37,16.52
F51,Macaranga denticulata,,T0007,Trees,Invertebrates access,2.5 cm,2.9,2.8,2.8,0.58,0.58,0.71,0.62,20,109.19,13.21,15.08,8.14,13.16
F51,Macaranga denticulata,,T0021,Trees,Invertebrates access,2.5 cm,3,3,3,1.02,0.87,0.85,0.89,19,122.08,15.87,17.95,9.74,15.72
F51,Macaranga denticulata,,T0025,Trees,Invertebrates access,2.5 cm,2.6,2.6,2.7,0.76,0.81,0.64,0.55,20,78.45,9.96,14.04,5.57,12.41
F51,Macaranga denticulata,,T0009,Trees,Invertebrates access,2.5 cm,2.6,2.6,2.7,0.65,0.58,0.8,0.44,20,76.83,8.48,13.08,5.1,11.75
F51,Macaranga denticulata,,T0027,Trees,Invertebrates access,2.5 cm,2.9,2.8,2.7,0.55,0.56,0.48,0.55,20,98.49,10.61,13.72,6.43,12.33
F51,Macaranga denticulata,,T0081,Trees,Invertebrates access,5.0 cm,4.9,4.6,4.5,1.35,0.85,1.14,1.31,20,261.68,27.96,36.77,15.46,31.76
F51,Macaranga denticulata,,T0077,Trees,Invertebrates access,5.0 cm,5.8,5.7,5.7,1.5,1.66,1.23,1.08,19,450.72,50.91,56.79,31.22,51.47
F51,Macaranga denticulata,,T0051,Trees,Invertebrates access,5.0 cm,5.6,5.6,5.7,2.25,1.57,1.67,1.16,19.5,431.83,52.05,58.12,32.03,51.57
F51,Macaranga denticulata,,T0055,Trees,Invertebrates access,5.0 cm,5.4,5.3,5.5,1.29,1.72,1.04,1.21,20,334.91,34.45,49.25,18.7,43.58
F51,Macaranga denticulata,,T0075,Trees,Invertebrates access,5.0 cm,5.7,5.6,5.6,1.18,1.07,1.82,1.14,20,441.77,38.37,53.93,20.88,48.19
F51,Macaranga denticulata,,T0057,Trees,Invertebrates access,5.0 cm,5.4,5.4,5.3,1.21,1.42,1.16,1.5,20.7,322.06,50.7,56.85,31.08,51.36
F51,Macaranga denticulata,,T0069,Trees,Invertebrates access,5.0 cm,4,3.9,3.9,1.37,1.01,0.99,1.23,20.5,168.19,19.28,27.98,9.08,23.89
F51,Macaranga denticulata,,T0026,Trees,Invertebrates blocked,2.5 cm,1.9,1.9,1.9,0.98,1.07,1.1,0.88,20,38.13,4.22,6.96,2.48,6.1
F51,Macaranga denticulata,,T0030,Trees,Invertebrates blocked,2.5 cm,1.9,1.9,1.9,1.23,1.12,1.4,1.33,20,40.56,4.28,6.94,2.32,5.57
F51,Macaranga denticulata,,T0028,Trees,Invertebrates blocked,2.5 cm,2.1,2.1,2.3,1.64,1.53,0.86,0.83,20,55.46,5.49,7.8,3.03,6.84
F51,Macaranga denticulata,,T0010,Trees,Invertebrates blocked,2.5 cm,2.1,2,2,0.67,0.23,1.16,1.64,19.5,46.72,5.28,8.16,2.89,6.97
F51,Macaranga denticulata,,T0016,Trees,Invertebrates blocked,2.5 cm,2,2,1.9,0.74,0.98,0.71,0.94,20,44.4,4.05,6.7,2.37,5.93
F51,Macaranga denticulata,,T0018,Trees,Invertebrates blocked,2.5 cm,2.8,2.7,2.7,0.94,1.24,0.95,1.05,19.5,83.03,8.89,13.78,4.92,12.04
F51,Macaranga denticulata,,T0004,Trees,Invertebrates blocked,2.5 cm,2.4,2.5,2.6,1.34,0.87,1.28,1.35,20,69.29,6.99,10.64,3.66,8.66
F51,Macaranga denticulata,,T0024,Trees,Invertebrates blocked,2.5 cm,2,2,2.1,0.76,0.68,0.98,0.83,20,48.73,5.566,8.28,2.91,6.98
F51,Macaranga denticulata,,T0002,Trees,Invertebrates blocked,2.5 cm,2.6,2.7,2.7,0.94,1.14,1.35,1.11,20,81.16,7.86,12.57,4.62,11.2
F51,Macaranga denticulata,,T0032,Trees,Invertebrates blocked,2.5 cm,2.6,2.6,2.7,0.91,0.56,0.84,0.73,19.5,81.15,8.74,12.18,4.88,10.63
F51,Macaranga denticulata,,T0006,Trees,Invertebrates blocked,2.5 cm,2.8,2.8,2.8,1.11,0.84,0.92,0.84,20.5,119.87,12.86,14.75,8.08,12.87
F51,Macaranga denticulata,,T0022,Trees,Invertebrates blocked,2.5 cm,2.6,2.7,2.7,0.95,1.24,1.26,1.1,20,86.14,9.62,13.18,5.4,11.49
F51,Macaranga denticulata,,T0014,Trees,Invertebrates blocked,2.5 cm,2.2,2.3,2.3,0.91,1.04,0.84,0.69,20,68.18,6.55,10.05,3.56,8.81
F51,Macaranga denticulata,,T0008,Trees,Invertebrates blocked,2.5 cm,2.5,2.5,2.6,0.93,0.89,0.74,0.9,20,74.55,8.81,12.54,5,11.11
F51,Macaranga denticulata,,T0012,Trees,Invertebrates blocked,2.5 cm,3,2.9,2.9,1.11,1.25,1.77,1.05,20,104.06,12.13,16.39,7.01,14.59
F51,Macaranga denticulata,,T0020,Trees,Invertebrates blocked,2.5 cm,2,2,2.1,0.72,0.66,0.88,0.96,19.5,42.7,4.57,7.32,2.42,6.21
F51,Macaranga denticulata,,T0059,Trees,Invertebrates access,5.0 cm,5.5,5.5,5.4,1.08,0.85,0.96,1.02,20.5,325.85,36.74,53.67,19.88,46.98
F51,Macaranga denticulata,,T0067,Trees,Invertebrates access,5.0 cm,4.8,4.9,4.9,1.06,1.38,1.18,1.16,20,329.07,38.89,43.67,24.07,38.82
F51,Macaranga denticulata,,T0063,Trees,Invertebrates access,5.0 cm,4.6,4.4,4.4,2.17,1.95,1.14,1.9,19.8,278.36,33.46,38.99,21.06,33.28
F51,Macaranga denticulata,,T0071,Trees,Invertebrates access,5.0 cm,5,5.5,5.6,0.91,1.11,1.77,1.53,20.5,377.8,40.84,45.76,21.15,41.15
F51,Macaranga denticulata,,T0053,Trees,Invertebrates access,5.0 cm,4,4,4,1.65,1.67,1.25,1.23,20,174.14,20.19,28.99,9.74,24.8
F51,Macaranga denticulata,,T0061,Trees,Invertebrates access,5.0 cm,5.4,5.5,5.5,0.64,1.66,0.87,0.96,20,362.56,38.35,55.52,21.25,50.18
F51,Macaranga denticulata,,T0073,Trees,Invertebrates access,5.0 cm,5.2,5.2,5.7,1.25,1.7,1.38,1.13,19.5,381.45,49.94,53.93,29.27,48.3
F51,Macaranga denticulata,,T0065,Trees,Invertebrates access,5.0 cm,3.9,4,4,1.34,0.92,1.31,1.12,20,163.59,18.04,27.59,8.4,23.46
F51,Macaranga denticulata,,T0079,Trees,Invertebrates access,5.0 cm,5.5,5.5,5.4,1.72,1.78,1.8,1.63,19.5,415.47,48.85,54.57,29.81,48.38
F51,Macaranga denticulata,,T0001,Trees,Invertebrates access,2.5 cm,2.8,2.7,2.7,0.77,0.44,0.75,0.45,20,76.15,9,13.5,5.14,12.45
F51,Macaranga denticulata,,T0013,Trees,Invertebrates access,2.5 cm,2.8,2.9,2.9,0.58,0.64,0.43,0.59,20,103.11,10.67,15.1,5.69,13.42
F51,Macaranga denticulata,,T0017,Trees,Invertebrates access,2.5 cm,2.9,3,3,0.82,0.95,0.8,0.44,20,114.99,12.74,16.02,7.93,14.56
F51,Macaranga denticulata,,T0005,Trees,Invertebrates access,2.5 cm,2.7,2.7,2.7,0.67,0.62,1.05,1.06,20,83.39,9.37,13.74,4.94,12.94
F51,Macaranga denticulata,,T0011,Trees,Invertebrates access,2.5 cm,2.7,2.7,2.8,0.64,0.94,0.57,0.86,20,85.26,9.44,14.04,5.2,12.43
F51,Macaranga denticulata,,T0019,Trees,Invertebrates access,2.5 cm,2.8,2.8,2.7,0.55,0.65,1.09,0.67,20,97.56,10.16,13.17,5.65,11.54
F51,Macaranga denticulata,,T0023,Trees,Invertebrates access,2.5 cm,3.1,3.1,3.2,0.49,0.78,0.77,0.59,19,111.7,12.33,17.62,6.92,15.51
F53,Tectona grandis,,T0179,Trees,Invertebrates access,5.0 cm,4.6,5.1,4.9,3.68,4.1,2.94,3.79,19.5,321.9,33.7,42.32,17.5,33.8
F53,Tectona grandis,,T0173,Trees,Invertebrates access,5.0 cm,4.5,4.8,4.8,3.26,3.21,2.63,2.13,20,338.55,34.67,36.52,17.47,27.31
F53,Tectona grandis,,T0163,Trees,Invertebrates access,5.0 cm,4.1,4,4,3.95,2.91,2.07,4.26,20,217.89,24.78,28.07,12.31,21.86
F53,Tectona grandis,,T0157,Trees,Invertebrates access,5.0 cm,4.5,4.4,4.5,3.43,2.66,3.71,3.37,19.8,259.6,28.4,29.93,14.34,21.79
F53,Tectona grandis,,T0165,Trees,Invertebrates access,5.0 cm,3.5,3.6,3.5,2.53,2.45,2.41,2.02,19,172.99,18.88,21.26,9.7,16.78
F53,Tectona grandis,,T0175,Trees,Invertebrates access,5.0 cm,4.5,4.5,4.6,2.83,4.27,3.45,4.63,20,298.09,31.83,34.15,16.17,26.31
F53,Tectona grandis,,T0155,Trees,Invertebrates access,5.0 cm,4.7,4.9,4.9,2.77,3.28,3.24,2.98,21,344.15,33.82,38.16,15.42,26.82
F53,Tectona grandis,,T0115,Trees,Invertebrates access,2.5 cm,2.9,3.1,2.6,2.44,1.21,2.15,2.31,20.5,108.65,8.79,11.05,5.05,8.91
F53,Tectona grandis,,T0131,Trees,Invertebrates access,2.5 cm,3.1,3.2,3.1,1.73,1.68,1.45,1.55,20,140.41,14.46,16.97,7.43,13.04
F53,Tectona grandis,,T0105,Trees,Invertebrates access,2.5 cm,2.3,2.4,2.4,1.41,1.02,1.95,2.09,20.5,74.11,8.24,10.24,4.38,8.15
F53,Tectona grandis,,T0127,Trees,Invertebrates access,2.5 cm,3.2,3.3,3.3,1.45,1.76,1.26,2.21,19,135.17,16.46,19.77,8.59,14.82
F53,Tectona grandis,,T0113,Trees,Invertebrates access,2.5 cm,2.1,2.5,2.3,1.74,1.13,1.3,1.94,19.7,77.6,7.83,9.62,3.61,6.94
F53,Tectona grandis,,T0109,Trees,Invertebrates access,2.5 cm,2.5,2.6,2.6,1.2,1.2,1.42,1.57,20.5,87.04,8.74,10.73,4.95,8.83
F53,Tectona grandis,,T0111,Trees,Invertebrates access,2.5 cm,2.2,1.9,20,1.02,1.01,1.36,0.97,20,55.75,5.61,7.01,2.86,5.51
F53,Tectona grandis,,T0125,Trees,Invertebrates access,2.5 cm,3.2,3.1,3.6,1.56,1.59,1.96,1.31,19.5,137.78,12.78,16.09,5.87,9.8
F53,Tectona grandis,,T0123,Trees,Invertebrates access,2.5 cm,2.8,2.8,2.8,2.07,1.14,1.81,1.75,19,100.94,11.24,13.25,6.76,13.51
F53,Tectona grandis,,T0107,Trees,Invertebrates access,2.5 cm,2.3,2.3,2.3,1.61,1.58,1.05,1.43,20,75.6,8.58,10.65,4.69,8.61
F53,Tectona grandis,,T0121,Trees,Invertebrates access,2.5 cm,2.7,2.8,2.6,1.21,1.48,1.74,1.46,20.5,103.18,10.3,12.49,5.85,10.24
F53,Tectona grandis,,T0101,Trees,Invertebrates access,2.5 cm,2,2.1,2.1,1.18,1.33,1.31,1.93,20.5,54.82,5.55,7.57,3.03,5.99
