species_label,species,family,Tag,growth_form,mesh_size,diameter_class,diameter_1 size_cm,diameter_2 size_cm,diameter_3 size_cm,Bark thickness_1 _mm,Bark thickness_2 _mm,Bark thickness_3 _mm,Bark thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces/g,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks/g
F58,Cunninghamia lanceolata,,T0568,Trees,Invertebrates blocked,5.0 cm,3.5,3.5,3.7,1.49,1.64,1.34,1.41,20.5,189.53,21.09,23.92,11.65,20.54
F58,Cunninghamia lanceolata,,T0552,Trees,Invertebrates blocked,5.0 cm,3.1,2.7,2.8,1.13,0.67,0.84,0.73,19.5,111.62,13.44,16.24,8.59,14.52
F58,Cunninghamia lanceolata,,T0572,Trees,Invertebrates blocked,5.0 cm,3,3.9,3.3,1.1,0.79,0.99,1.12,20.7,149.48,16.59,19.84,9.33,16.8
F58,Cunninghamia lanceolata,,T0556,Trees,Invertebrates blocked,5.0 cm,2.8,2.8,3.2,1.03,0.72,0.59,1.02,19,105.95,14.03,16.82,8.8,15.18
F58,Cunninghamia lanceolata,,T0576,Trees,Invertebrates blocked,5.0 cm,3.9,4,3.9,0.73,0.79,0.61,1.27,20,231.36,25.05,27.58,15.4,23.62
F58,Cunninghamia lanceolata,,T0562,Trees,Invertebrates blocked,5.0 cm,3.4,3.4,3.5,1.05,0.69,0.92,0.91,19.5,165.84,16.81,19.59,NA,NA
F58,Cunninghamia lanceolata,,T0582,Trees,Invertebrates blocked,5.0 cm,4,4.1,4.1,2.31,2.31,2.03,1.98,20.5,218.17,36.91,38.91,NA,NA
F58,Cunninghamia lanceolata,,T0570,Trees,Invertebrates blocked,5.0 cm,3.3,3.3,3.2,1.4,1.18,1.32,1.16,20.5,170.29,21.42,25.11,11.92,21.95
F58,Cunninghamia lanceolata,,T0529,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.2,0.47,0.55,0.78,0.62,19.5,68.49,6.89,8.81,3.94,7.9
F58,Cunninghamia lanceolata,,T0513,Trees,Invertebrates access,2.5 cm,2.2,2.2,2.5,1.08,0.82,1.42,0.99,20,75.66,7.52,9,4.19,8.07
F58,Cunninghamia lanceolata,,T0505,Trees,Invertebrates access,2.5 cm,2.8,2.9,2.9,1.15,0.88,0.63,0.96,20.5,127.04,14.47,15.72,8.72,13.75
F58,Cunninghamia lanceolata,,T0507,Trees,Invertebrates access,2.5 cm,2.6,2.6,2.3,0.56,0.58,0.67,0.73,21,104.81,8.76,9.95,5.1,8.86
F58,Cunninghamia lanceolata,,T0509,Trees,Invertebrates access,2.5 cm,2.7,2.8,2.7,1.1,1.02,0.95,1.14,195,101.37,11.05,13.22,6.28,11.94
F58,Cunninghamia lanceolata,,T0519,Trees,Invertebrates access,2.5 cm,2.4,2.3,2.3,0.91,0.95,1.02,0.96,20.5,80.4,10.04,11.21,5.66,10.45
F58,Cunninghamia lanceolata,,T0511,Trees,Invertebrates access,2.5 cm,1.8,1.8,1.8,0.78,0.52,0.55,0.37,19.5,41.93,4.56,6.58,3.5,6.08
F65,Piper umbellatum,,T1082,Trees,Invertebrates blocked,5.0 cm,4.5,4.2,4.3,1.4,1.58,1.52,2.31,19.5,324.49,44.66,41.6,15.34,29.24
F65,Piper umbellatum,,T1078,Trees,Invertebrates blocked,5.0 cm,4.1,4.4,4.1,1.52,1.35,1.12,1.22,20,309.51,36.3,33.98,12.6,24.93
