"","species_label","species","family","Tag","growth_form","mesh_size","diameter_class","diameter_1.size_cm","diameter_2.size_cm","diameter_3.size_cm","Bark.thickness_1._mm","Bark.thickness_2._mm","Bark.thickness_3._mm","Bark.thickness_4_mm","length_cm","Wet_weight_of_wood_block_g","Wet_weight_of_small_pieces_of_wood_g","Volume_of_wet_small_pieces.g","Dry_weight_of_small_wood_blocks_g","Dry_volume_of_small_wood_blocks.g","av_bark_thickness","density","av_wd_diameter","wd_under_bark","bark_wd_ratio","initial_mass","Carbon_wood","Carbon_bark","cellulose_wood","cellulose_bark","Nitrogen_wood","Nitrogen_bark","hemicellulose_wood","hemicellulose_bark","Tannins_wood","Tannins_bark","ADL_wood","ADL_bark","Calcium_wood","Calcium_bark","Potassium_wood","Potassium_bark","magesium_wood","magesium_bark","Manganese_wood","Manganese_bark","Phosphorous_wood","Phosphorous_bark","sugars_wood","sugars_bark","Silicon_wood","Silicon_bark","mean_density","density_class","block","Harvest","Time_months","incubation_time","log_fresh_weight","wood_weight","disck_fresh_weight","disk_fresh_volume","disck_dry_weight","disck_dry_volume","Bark_fresh_mass_at_harvest","Bark_fresh_volume_at_harvest","Dry_bark_mass_at_harvest","Dry_bark_volume_at_harvest","bark_mass_fresh","f_wood_mass","f_bark_mass","final_mass","per_ml","W_D_prop"
"519","F53","Tectona grandis",NA,"T0155","Trees","Invertebrates access","5.0 cm",4.7,4.9,4.9,2.77,3.28,3.24,2.98,21,344.15,33.82,38.16,15.42,26.82,3.0675,0.574944071588367,4.9,4.59325,1.3356555815599,156.912862211709,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","1","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
"522","F53","Tectona grandis",NA,"T0105","Trees","Invertebrates access","2.5 cm",2.3,2.4,2.4,1.41,1.02,1.95,2.09,20.5,74.11,8.24,10.24,4.38,8.15,1.6175,0.537423312883436,2.4,2.23825,1.44532558918798,39.3934223300971,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","1","4","24 months","24",42.18,40.62,7.115,4.8,3.577,8.72,0.405,0,0.355,0,1.67,20.4213267744202,1.46382716049383,21.2056022487702,46.1696877436088,1.45333747634595
"525","F53","Tectona grandis",NA,"T0109","Trees","Invertebrates access","2.5 cm",2.5,2.6,2.6,1.2,1.2,1.42,1.57,20.5,87.04,8.74,10.73,4.95,8.83,1.3475,0.560588901472254,2.6,2.46525,1.09319541628638,49.2961098398169,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","3","4","24 months","24",43.05,34.2,4.955,9.48,2.63,8.555,1.87,0,0.96,0,8.96,18.1525731584258,4.59978609625668,22.8499495459132,53.6475603852678,4.58923521016948
"531","F53","Tectona grandis",NA,"T0101","Trees","Invertebrates access","2.5 cm",2,2.1,2.1,1.18,1.33,1.31,1.93,20.5,54.82,5.55,7.57,3.03,5.99,1.4375,0.50584307178631,2.1,1.95625,1.46964856230032,29.9287567567568,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","4","4","24 months","24",8.81,8.82,1.98,3.635,1.415,2.65,0.1,0,0.1,0,0.1,6.30318181818182,0.1,6.29603535353535,78.9632579638847,0.0884134996754886
"535","F53","Tectona grandis",NA,"T0129","Trees","Invertebrates access","2.5 cm",3.3,3,3,2,1.51,1.94,1.64,20,152.55,16.3,18.66,7.25,12.68,1.7725,0.571766561514196,3,2.82275,1.25586750509255,67.8519938650307,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","2","4","24 months","24",19.45,19.46,3.66,8.1,2.615,7.445,0.1,0,0.1,0,0.1,13.9037978142077,0.1,13.8966530054645,79.5191678035176,0.0892807720499372
"539","F53","Tectona grandis",NA,"T0151","Trees","Invertebrates access","5.0 cm",3.3,3.3,3.3,1.52,1.56,0.97,2.01,20,142.43,14.46,17.96,7.6,14.12,1.515,0.538243626062323,3.3,3.1485,0.962363030014293,74.8594744121715,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","3","4","24 months","24",14.36,14.37,4.015,6.715,3.4185,5.985,0.1,0,0.1,0,0.1,12.2350797011208,0.1,12.2265653798257,83.6673106833385,0.0891826779845918
"545","F53","Tectona grandis",NA,"T0172","Trees","Invertebrates blocked","5.0 cm",3.3,3.4,3.5,1.98,2.17,1.57,1.5,19.5,162.11,17.67,19.9,8.94,15.14,1.805,0.590488771466314,3.43333333333333,3.25283333333333,1.10980171132859,82.0183022071307,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","3","4","24 months","24",90.76,70.6,6.75,10.085,3.835,8.96,3.945,0,2.35,0,20.27,40.1112592592593,12.0746514575412,51.5651259259259,37.1297325861461,12.0644021509828
"549","F53","Tectona grandis",NA,"T0180","Trees","Invertebrates blocked","5.0 cm",3.2,3.2,3.2,2.53,1.78,1.94,1.79,19.5,146.47,15.58,17.44,7.88,13.16,2.01,0.598784194528875,3.2,2.999,1.3404468156052,74.0811039794608,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","4","4","24 months","24",77.52,63.54,8.875,14.63,4.935,13.85,4.055,1.74,0.1,0,14.09,35.3318197183099,0.347472256473489,43.1054873239437,41.8131142647459,0.337189225481038
"558","F53","Tectona grandis",NA,"T0114","Trees","Invertebrates blocked","2.5 cm",2.4,2.4,2.4,1.1,1.24,0.97,1.12,20,80.34,8.01,9.87,4.11,7.72,1.1075,0.532383419689119,2.4,2.28925,0.967565796658294,41.2231460674157,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","4","4","24 months","24",44.27,37.87,4.845,8.33,2.57,6.865,1.17,0,0.875,0,6.51,20.0879050567595,4.86858974358975,23.4827450980392,43.0350486601972,4.85809193159931
"562","F53","Tectona grandis",NA,"T0132","Trees","Invertebrates blocked","2.5 cm",2.8,2.9,2.6,1.21,1.41,1.28,1.28,19.5,100.81,10.24,12.82,5.21,10.12,1.295,0.514822134387352,2.8,2.6705,0.969855832241153,51.291025390625,48.025,44.05,50.59,46.37,0.06725,0.07625,12.3175,13.63,0.2025,NA,22.9925,13.405,6.2775,24.475,6.125,7.975,1.3325,2.63,10.35,102.1,0.7275,0.61,4.53,6.195,0.685,7.72,0.563022247439949," medium","3","4","24 months","24",0,0.01,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.01,0.1,0,100,-0.91
