"species_label","species","family","Tag","growth_form","mesh_size","diameter_class","diameter_1.size_cm","diameter_2.size_cm","diameter_3.size_cm","Bark.thickness_1._mm","Bark.thickness_2._mm","Bark.thickness_3._mm","Bark.thickness_4_mm","length_cm","Wet_weight_of_wood_block_g","Wet_weight_of_small_pieces_of_wood_g","Volume_of_wet_small_pieces.g","Dry_weight_of_small_wood_blocks_g","Dry_volume_of_small_wood_blocks.g","av_bark_thickness","density","av_wd_diameter","wd_under_bark","bark_wd_ratio","initial_mass","Carbon_wood","Carbon_bark","cellulose_wood","cellulose_bark","Nitrogen_wood","Nitrogen_bark","hemicellulose_wood","hemicellulose_bark","Tannins_wood","Tannins_bark","ADL_wood","ADL_bark","Calcium_wood","Calcium_bark","Potassium_wood","Potassium_bark","magesium_wood","magesium_bark","Manganese_wood","Manganese_bark","Phosphorous_wood","Phosphorous_bark","sugars_wood","sugars_bark","Silicon_wood","Silicon_bark","mean_density","density_class","block","Harvest","Time_months","incubation_time","log_fresh_weight","wood_weight","disck_fresh_weight","disk_fresh_volume","disck_dry_weight","disck_dry_volume","Bark_fresh_mass_at_harvest","Bark_fresh_volume_at_harvest","Dry_bark_mass_at_harvest","Dry_bark_volume_at_harvest","bark_mass_fresh","f_wood_mass","f_bark_mass","final_mass","per_ml"
"F58","Cunninghamia lanceolata",NA,"T0503","Trees","Invertebrates access","2.5 cm",2.5,2.6,2.7,1.33,1.32,1.17,0.96,19.5,89.46,10.81,12.77,6.33,11.36,1.195,0.557218309859155,2.63333333333333,2.51383333333333,0.950739242856196,52.3849953746531,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","2","12 months","12",40.23,0.01,4.555,6.53,3.875,6.2,0.1,0,0.1,0,40.33,0.00850713501646542,40.33,34.2242041712404,34.6679255644259
"F58","Cunninghamia lanceolata",NA,"T0512","Trees","Invertebrates blocked","2.5 cm",2.6,2.7,2.6,0.67,1.06,0.66,1.14,20.5,93.39,10.73,12.55,5.63,10.9,0.8825,0.51651376146789,2.66666666666667,2.57841666666667,0.684528618984519,49.0014631873252,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","2","12 months","12",55.02,0.01,6.625,11.17,5.485,10.235,0.1,0,0.1,0,55.12,0.00827924528301887,55.12,45.5524075471698,7.03867887979225
"F58","Cunninghamia lanceolata",NA,"T0524","Trees","Invertebrates blocked","2.5 cm",2.9,2.8,2.6,0.75,0.65,0.92,0.61,20.5,114.6,9.93,12.52,6.12,11.11,0.7325,0.550855085508551,2.73333333333333,2.66008333333333,0.550734626108205,70.6296072507553,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","3","18 months","18",115.21,0.01,7.01,9.14,5.45,8.47,0.1,0,0.1,0,115.31,0.00777460770328103,115.31,89.5712553495007,-26.8182832045167
"F58","Cunninghamia lanceolata",NA,"T0516","Trees","Invertebrates blocked","2.5 cm",2.6,2.6,2.8,1.01,1.39,1.29,1.37,20,96.18,9.97,12.24,5.86,10.21,1.265,0.573947110675808,2.66666666666667,2.54016666666667,0.995997637950266,56.531073219659,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","1","6 months","6",66.93,0.01,8.59,12.01,7.33,10.92,0.1,0,0.1,0,67.03,0.00853317811408615,67.03,57.1125611175786,-1.02861641359639
"F58","Cunninghamia lanceolata",NA,"T0518","Trees","Invertebrates blocked","2.5 cm",2,2.2,2.1,1.52,0.52,1.29,1.26,20,56.32,5.15,8.43,3.63,7.54,1.1475,0.481432360742706,2.16666666666667,2.05191666666667,1.11846647443447,39.6973980582524,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",46.74,37.75,4.475,5.365,2.605,4.95,1.93,0,1.48,0,9.1,21.9751396648045,6.97823834196891,27.2084245810056,31.4604333989859
"F58","Cunninghamia lanceolata",NA,"T0526","Trees","Invertebrates blocked","2.5 cm",2.6,2.6,2.5,0.96,0.99,0.94,0.91,20.5,93.89,20.81,23.13,12.46,19.92,0.95,0.625502008032129,2.56666666666667,2.47166666666667,0.768712070128119,56.2166938971648,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","4","24 months","24",64.54,57.09,5.13,7.2,4.1,6.44,2.26,5.555,1.575,5,7.56000000000001,45.627485380117,5.26858407079647,51.5816764132554,8.24491296551187
"F58","Cunninghamia lanceolata",NA,"T0510","Trees","Invertebrates blocked","2.5 cm",2.6,3.1,2.8,0.97,0.76,0.97,0.78,20,114.93,10.76,12.46,5.58,10.91,0.87,0.511457378551787,3,2.913,0.597322348094748,59.6012453531599,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","1","6 months","6",63.57,0.01,6.805,12.05,6.295,11.45,0.1,0,0.1,0,63.67,0.00925055106539309,63.67,58.8057531227039,1.33469061886604
"F58","Cunninghamia lanceolata",NA,"T0520","Trees","Invertebrates blocked","2.5 cm",2,2.1,2.4,0.84,1.18,0.69,1.09,20,71.51,6.66,7.83,3.57,6.63,0.95,0.538461538461538,2.2,2.105,0.902612826603326,38.3319369369369,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","1","6 months","6",47.03,0.01,4.45,6.975,3.66,6.475,0.1,0,0.1,0,47.13,0.0082247191011236,47.13,38.6808539325843,-0.910251407909203
"F58","Cunninghamia lanceolata",NA,"T0508","Trees","Invertebrates blocked","2.5 cm",2.2,2.2,2.6,0.93,0.9,1.02,0.83,19.5,71.44,8.03,10.57,5.52,9.12,0.92,0.605263157894737,2.33333333333333,2.24133333333333,0.82093991671624,49.1094396014944,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","3","18 months","18",66.29,0.01,7.13,8.845,3.825,8.04,0.1,0,0.1,0,66.39,0.00536465638148668,66.39,35.5623071528752,27.5855977151223
"F58","Cunninghamia lanceolata",NA,"T0504","Trees","Invertebrates blocked","2.5 cm",1.9,2,2.1,1.02,0.73,0.89,1.06,20,64.36,5.76,7.35,3.22,5.82,0.925,0.553264604810997,2.03333333333333,1.94083333333333,0.953198797767282,35.9790277777778,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","4","3","18 months","18",52.27,0.01,4.49,6.205,3.12,5.16,0.1,0,0.1,0,52.37,0.00694877505567929,52.37,36.3212472160356,-0.951163662263363
