date,Tag,log_fresh_weight,wood_weight,subsection,disk_fresh_weight,disk_fresh_volume,disk_dry_weight,disk_dry_volume,Bark_fresh_mass_at_harvest,Bark_fresh_volume_at_harvest,Dry_bark_mass_at_harvest,Dry_bark_volume_at_harvest,Harvest,Time_months,incubation_time,block
6.12.2022,L0967,38.18,0,2,4.25,6.71,3.84,6.52,0,0,0,0,1,6 months,6,4
6.12.2022,T1104,38.04,0,2,4.26,8.74,2.83,8,0,0,0,0,1,6 months,6,1
6.12.2022,L0871,38.26,0,1,4.26,13.37,2.94,8.2,0,0,0,0,1,6 months,6,1
6.12.2022,L4114,38.81,0,1,4.27,9.74,3.59,9.06,0,0,0,0,1,6 months,6,3
6.12.2022,L4101,31.73,0,1,4.28,7.62,3.85,7.11,0,0,0,0,1,6 months,6,4
6.12.2022,T0002,33.56,0,2,4.31,11.43,3.64,10.86,0,0,0,0,1,6 months,6,4
6.12.2022,L0427,48.65,0,2,4.34,8.12,2.46,7.1,0,0,0,0,1,6 months,6,1
6.12.2022,L0906,39.04,0,2,4.34,8.9,3.68,8.2,0,0,0,0,1,6 months,6,2
6.12.2022,T0779,22.74,0,1,4.35,7.11,3.94,6.88,0,0,0,0,1,6 months,6,4
6.12.2022,L3822,51.3,0,2,4.38,7.31,1.89,6.38,0,0,0,0,1,6 months,6,1
6.12.2022,T1022,68,0,1,4.39,12.03,3.78,11.41,0,0,0,0,1,6 months,6,2
6.12.2022,L1004,83.81,0,2,4.39,9.24,3.28,8.37,0,0,0,0,1,6 months,6,2
6.12.2022,T1019,49.54,0,1,4.42,10.17,3.81,10.57,0,0,0,0,1,6 months,6,2
6.12.2022,L1255,49.87,0,1,4.45,12.34,3.86,11.12,0,0,0,0,1,6 months,6,3
6.12.2022,L0406,40.15,0,2,4.47,9.96,3.73,8.8,0,0,0,0,1,6 months,6,2
6.12.2022,T0557,42.96,0,1,4.47,6,3.83,5.67,0,0,0,0,1,6 months,6,4
6.12.2022,T0520,47.03,0,1,4.48,7.11,3.67,6.6,0,0,0,0,1,6 months,6,1
6.12.2022,T0316,49.74,0,2,4.51,9.81,3.07,9.68,0,0,0,0,1,6 months,6,4
6.12.2022,T0916,41.06,0,1,4.53,7,3.86,6.67,0,0,0,0,1,6 months,6,3
6.12.2022,L0453,92.69,0,1,4.53,13.81,3.53,11.66,0,0,0,0,1,6 months,6,4
6.12.2022,T0615,31.32,0,2,4.56,10.25,3.89,9.65,0,0,0,0,1,6 months,6,2
6.12.2022,T0316,49.74,0,1,4.57,9.63,3.04,9.3,0,0,0,0,1,6 months,6,4
6.12.2022,L4587,25.96,0,1,4.58,19.69,2.77,9.68,0,0,0,0,1,6 months,6,1
6.12.2022,T0420,46.9,0,1,4.58,5.5,3.94,5.21,0,0,0,0,1,6 months,6,2
6.12.2022,L1073,65.13,0,2,4.62,7.13,2.33,4.6,0,0,0,0,1,6 months,6,1
